Companies,Links
Southwest Research Institute,https://www.monster.com/job-openings/engineer-research-engineer-scientist-ballistics-san-antonio-tx--b4a79ce8-3aa3-445d-814c-52fbecc7d4a3
CHARTER GLOBAL,https://www.monster.com/job-openings/machine-learning-engineer-software-development-plano-tx--8f9db213-9de8-4629-bcec-f8f96292561e
Spherion,https://www.monster.com/job-openings/research-scientist-college-station-tx--b116cfee-0f44-4e44-b30b-df9fcfe213bd
SAAS Tech INC,https://www.monster.com/job-openings/data-scientist-advanced-analytics--42e8e198-a328-40d9-83fd-323fbd7a94b7
IMGEN,https://www.monster.com/job-openings/neuro-imaging-statistician--fb977a51-68e1-43a9-82ce-932ea17bd16a
Parkland Hospitals,https://www.monster.com/job-openings/enterprise-data-scientist-dallas-tx-us-dallas-tx--093e9a5a-165e-4c6f-bc84-7849fc9850f8
Lennox International,https://www.monster.com/job-openings/data-scientist-ii-richardson-tx--3c483cb6-4817-4299-beef-2bbe8c6e1b2b
Tech-Connect,https://www.monster.com/job-openings/principal-data-scientist-200000cc-houston-tx--2e6767b8-8018-4902-b5ae-3c8fafeaacb9
"CICONIX, LLC",https://www.monster.com/job-openings/data-scientist-san-antonio-tx--3ff2e9a9-6b15-4650-be92-7b5622995dbc
Artis Consulting,https://www.monster.com/job-openings/microsoft-data-ai-solution-technical-consultant-richardson-tx--481defa8-ccab-42a7-bf0e-d03d7b246a0b
IBM,https://www.monster.com/job-openings/senior-data-scientist-austin-tx--b9c1a1fe-564e-4a29-9768-385c5bf436c9
Oportun Inc,https://www.monster.com/job-openings/sr-data-scientist-frisco-tx--8120a487-841e-4926-872a-2642316f480c
Sense Corp,https://www.monster.com/job-openings/senior-data-scientist-austin-tx--59ff2d70-0cea-42ae-a9f4-70513b65b11b
Evolent Health,https://www.monster.com/job-openings/associate-director-data-scientist-nlp-text-mining-dallas-tx--c3e6a7a2-a3ec-4a57-9b7e-fe04f2c30c92
APN Software Services Inc.,https://www.monster.com/job-openings/data-scientist-dallas-tx--562cac25-426b-40b5-8a6f-0cbdd0697c84
IBM,https://www.monster.com/job-openings/conversational-artificial-intelligence-engineer-austin-tx--9af77e53-41e9-4cd3-b698-abd27ef216e6
Avanade Inc.,https://www.monster.com/job-openings/azure-data-scientist-houston-tx--0c621ea5-2e72-4b08-ae17-2149047e46a9
"AppFolio, Inc",https://www.monster.com/job-openings/sr-data-scientist-payments-dallas-tx--e27dd911-d2a5-4f52-95f9-9b5bb3d5d367
IBM,https://www.monster.com/job-openings/software-developer-nlp-ai-and-machine-learning-austin-tx--7492807e-3753-4062-aaa0-3c8d5a17bbb3
Expedia,https://www.monster.com/job-openings/svp-gm-data-ai-austin-tx--6866d99f-ab9b-41cf-8e33-a1d3e7d77a1e
Sense Corp,https://www.monster.com/job-openings/senior-data-scientist-houston-tx--7bd71279-299a-453b-b511-51eb0dc67851
Money Mart Financial Services,https://www.monster.com/job-openings/data-scientist-houston-tx--7f78fbfe-1383-4f14-a3c3-26dd953681b7
IBM,https://www.monster.com/job-openings/software-developer-nlp-ai-and-machine-learning-austin-tx--31ce6f24-af14-4fbb-afac-8e35e9d6c1cc
Council of State Governments,https://www.monster.com/job-openings/data-scientist-austin-tx--d54bcd0b-8db5-44ea-9350-090050d900b6
Humana,https://www.monster.com/job-openings/data-scientist-2-marketing-analytics-san-antonio-tx--ffe763a2-0e1e-46bb-8037-6edaa69235aa
Tiger Analytics,https://www.monster.com/job-openings/senior-data-scientist-austin-tx--4335fc76-d280-410f-b84d-d1fc3a597590
GM Financial,https://www.monster.com/job-openings/ai-solutions-engineer-fort-worth-tx--6f36536e-5487-4340-8791-b040a0e0c4e7
APN Software Services Inc.,https://www.monster.com/job-openings/ai-dl-data-scientist-round-rock-tx--6f8ac4b1-25ac-4f1e-b8c4-def0208964f5
iHeartMedia,https://www.monster.com/job-openings/data-scientist-san-antonio-tx--a6a42c36-f58e-41f5-9c1a-4a5982f8b6c0
APN Software Services Inc.,https://www.monster.com/job-openings/data-scientist-dallas-tx--286d937f-2980-4967-a72e-b5795adb3a03
Artech Information Systems LLC,https://www.monster.com/job-openings/data-scientist-dallas-tx--6a22e789-7350-49f9-aff0-663c7e47f024
Axiom Group,https://www.monster.com/job-openings/artificial-intelligence-engineer-austin-tx--2b261abd-548d-4e4b-9a7e-69a93d1ae8f8
AT&T,https://www.monster.com/job-openings/senior-data-scientist-plano-tx--a923bc85-4c28-44ee-8ed7-5e69ff8f7b9e
"Infinity Consulting Solutions, Inc.",https://www.monster.com/job-openings/data-scientist-plano-tx--195bbfde-b6e1-4c16-82a7-38897ac11fac
Alaka`ina Foundation Family of Companies,https://www.monster.com/job-openings/data-scientist-san-antonio-tx--a7e541b0-0d02-4bea-9eb1-4b516c27300b
Intelliswift Software Inc,https://www.monster.com/job-openings/data-scientist-machine-learning-engineer-plano-tx--ab1ebddf-3b06-4b7e-9d73-a39ef876413d
Goldman Sachs,https://www.monster.com/job-openings/phd-quantitative-engineer-dallas-dallas-tx--5d30661b-2c54-44f9-9274-db08302c6732
Randstad Engineering,https://www.monster.com/job-openings/reliability-engineer-fort-worth-tx--5b579fae-8beb-466c-b6ed-e2985aad4a29
Axiom Group,https://www.monster.com/job-openings/artificial-intelligence-researcher-austin-tx--4e0728e3-3aca-4198-831e-16765cfa9a67
APN Software Services Inc.,https://www.monster.com/job-openings/data-scientist-data-intelligence-engineer-round-rock-tx--a1b8a103-6d12-4720-88b0-58dcdf06b30d
Tech-Connect,https://www.monster.com/job-openings/principal-data-scientist-200000cc-dallas-tx--08516920-8e37-4151-a533-c1d22d17fa59
IBM,https://www.monster.com/job-openings/speech-technologies-machine-learning-engineer-austin-tx--0a0dc3aa-6820-4a3e-890c-cdb68fd0a7d2
Hello Alice,https://www.monster.com/job-openings/senior-data-scientist-houston-tx--4d65f37d-edc0-4518-81fd-416905745b56
"Saicon Consultants, Inc",https://www.monster.com/job-openings/senior-data-scientist-austin-tx--38f3f6d1-d736-4183-b5d4-d8e96f106afb
IBM,https://www.monster.com/job-openings/speech-technologies-machine-learning-engineer-austin-tx--51502717-7038-4954-a554-d4f618b08374
Mindlance,https://www.monster.com/job-openings/data-scientist-dallas-tx--bf5f5aac-ce83-4ee5-aab5-8494f997d170
CBRE,https://www.monster.com/job-openings/senior-product-manager-data-science-dallas-tx--8fc6bdef-0e16-417d-b82b-20c52f6d6c60
"NTT DATA, Inc.",https://www.monster.com/job-openings/senior-data-science-advisor-data-mining-python-r-addison-tx--5fa9dbca-c4ed-41aa-858f-18e6210dc62e
